GNG13	ADRA2C
GNG13	CCL1
GNG13	S1PR5
GNG13	CXCL13
GNG13	CXCL10
GNG13	CXCL5
GNG13	ADRA1D
GNG13	CNR2
GNG13	DRD2
GNG13	CXCL9
GNG13	CCL20
GNG13	GPR15
GNG13	INSL3
TUBA4A	GZMB
HSPB1	MAPK4
GNG11	CXCL11
GNG11	MC4R
GNG11	ADRA2C
GNG11	CCL1
GNG11	S1PR5
GNG11	CXCL13
GNG11	CXCL10
GNG11	CXCL5
GNG11	ADRA1D
GNG11	CNR2
GNG11	DRD2
GNG11	CXCL9
GNG11	CCL20
GNG11	GPR15
GNG11	INSL3
GNGT1	CXCL10
GNGT1	OR51E2
GNGT1	CXCL5
GNGT1	ADRA1D
GNGT1	CXCL11
GNGT1	MC4R
GNGT1	CNR2
GNGT1	ADRA2C
GNGT1	DRD2
GNGT1	OR8B2
GNGT1	CCL1
GNGT1	CXCL9
GNGT1	OR10A5
GNGT1	CCL20
GNGT1	OR2AG2
GNGT1	GPR15
GNGT1	S1PR5
GNGT1	OR2D3
GNGT1	INSL3
GNGT1	CXCL13
PTPN12	BTC
FGL2	FGG
VPREB3	CD79A
MCHR1	CXCL11
MCHR1	ADRA2C
MCHR1	CCL1
MCHR1	S1PR5
MCHR1	CXCL13
MCHR1	CXCL10
MCHR1	CXCL5
MCHR1	ADRA1D
MCHR1	CNR2
MCHR1	DRD2
MCHR1	CXCL9
MCHR1	CCL20
GALR3	CXCL11
GALR3	ADRA2C
GALR3	CCL1
GALR3	S1PR5
GALR3	CXCL13
GALR3	CXCL10
GALR3	CXCL5
GALR3	CNR2
GALR3	DRD2
GALR3	CXCL9
GALR3	CCL20
RAC2	PAK7
LIF	ALOX15B
TAS2R16	CXCL10
TAS2R16	CCL1
TAS2R16	CXCL9
TAS2R16	CCL20
TAS2R16	CXCL5
TAS2R16	CXCL11
TAS2R16	S1PR5
TAS2R16	CNR2
TAS2R16	ADRA2C
TAS2R16	DRD2
TAS2R16	CXCL13
VGF	AMBN
VGF	SPP1
VGF	FGG
VGF	DMP1
VGF	APOA1
SNAP23	OLR1
SNAP23	SNAP25
SNAP23	CLEC5A
TMOD2	TNNT1
ISLR	LEFTY2
ISLR	FGG
COPB1	OLR1
COPB1	SNAP25
COPB1	CLEC5A
TPH1	IL4I1
TPH1	IDO1
CD68	PIGR
CD68	DCANP1
CD68	GFAP
ATP1B2	ATP1A2
PARP2	GZMB
FOXA1	AGR2
EGLN3	PSMA8
NEDD8	PSMA8
NEDD8	UBD
DAD1	DRD2
CDO1	GAD1
RAP1B	PIGR
RAP1B	FGG
AANAT	IDO1
ARHGEF6	LAMC3
ARHGEF6	PAK7
CNGB1	GUCY2D
RPS16	HBA2
ALOX12	PLA2G2D
ALOX12	ALOX15B
UGT2A3	SULT1E1
KRT12	KRT18
KRT31	KRT18
KRT33B	KRT18
SNX4	SNAP25
RAF1	PAK7
RAF1	FGG
TDRD1	PIWIL1
MICB	ULBP1
KRT5	KRT18
KRT1	KRT18
KRT75	KRT18
KRT6C	KRT18
KRT6B	KRT18
PVRL2	ULBP1
PVRL2	PVRL4
APOE	AMBN
APOE	SPP1
APOE	DMP1
APOE	APOA1
APOE	FGG
ENSG00000224916	APOA1
BST2	IFNG
BST2	IRF4
BST2	PIGR
MLLT1	HIST1H3J
BMP15	AMBN
BMP15	SPP1
BMP15	FGG
BMP15	DMP1
BMP15	APOA1
ACTN4	LEFTY2
ACTN4	FGG
HRC	AMBN
HRC	SPP1
HRC	DMP1
HRC	APOA1
HRC	FGG
TRPM4	SCN10A
HBZ	HBA2
LAMA5	LAMC3
LAMA5	PAK7
TRIM28	ZNF215
TRIM28	ZNF560
HIP1R	SH3GL3
F12	F9
ACLY	IL4I1
ACLY	LYZ
RAMP2	MC4R
RAMP2	GPR15
RAMP2	INSL3
G6PC	FBP1
EXOC4	SNAP25
PPFIA1	SNAP25
KRT15	KRT18
PPP1R1B	DRD2
NR0B2	MTTP
ACTR10	HLA-DOB
ACTR10	LYZ
DNAJB1	MAPK4
TRIM21	GBP5
TRIM21	IRF4
SMARCC1	IRF4
HSD17B7	SULT1E1
RAMP1	MC4R
RAMP1	GPR15
RAMP1	INSL3
RPA1	OR51E2
IGJ	MZB1
IGJ	PIGR
IGJ	CD79A
IGJ	IGLL5
UTP3	CYLC2
H3F3B	HIST1H3J
KDM6B	IRF4
SNAP25	OLR1
SNAP25	GAD1
SNAP25	CLEC5A
SSTR4	CXCL11
SSTR4	ADRA2C
SSTR4	CCL1
SSTR4	S1PR5
